frame,tp,fg_pixels,fp,bg_pixels,person_raw_background,person_raw_shadow,person_raw_foreground
163,1928,1957,11147,98839,1,35,1921
164,1900,1920,11199,98880,2,20,1898
165,1831,1857,10882,98946,1,24,1832
166,1774,1804,11138,98991,2,21,1781
167,1729,1734,10827,99076,2,4,1728
168,1733,1734,10157,99064,1,4,1729
169,1683,1690,9563,99045,0,8,1682
170,1679,1686,9699,99047,0,9,1677
171,1652,1654,11323,99073,1,5,1648
172,1644,1653,11499,99073,0,8,1645
173,1637,1640,11036,99072,0,5,1635
174,1649,1656,10763,99079,0,8,1648
175,1618,1631,10379,99118,1,14,1616
176,1576,1591,10370,99167,2,10,1579
177,1563,1565,9792,99218,0,3,1562
178,1558,1558,9397,99229,0,1,1557
179,1539,1540,8539,99281,0,1,1539
180,1533,1534,7474,99285,0,2,1532
181,1530,1537,6662,99267,0,6,1531
182,1513,1522,6588,99274,1,9,1512
183,1536,1546,5954,99239,0,14,1532
184,1513,1528,5526,99260,0,15,1513
185,1502,1516,4803,99266,0,14,1502
186,1509,1526,4618,99252,0,20,1506
187,1491,1514,4383,99248,0,15,1499
188,1498,1522,4415,99244,0,22,1500
189,1481,1507,4123,99255,0,21,1486
190,1496,1515,4162,99249,0,20,1495
191,1497,1516,4134,99249,0,19,1497
192,1492,1516,4179,99249,2,16,1498
193,1521,1533,3901,99241,1,13,1519
194,1510,1521,3261,99219,0,11,1510
195,1526,1537,3430,99251,1,6,1530
196,1504,1510,3539,99280,1,4,1505
197,1480,1486,3602,99302,1,5,1480
198,1477,1482,3671,99262,1,4,1477
199,1473,1480,3165,99264,1,3,1476
200,1468,1475,2994,99247,1,8,1466
201,1469,1484,2869,99231,1,9,1474
202,1475,1492,2636,99209,1,13,1478
203,1483,1499,2210,99199,1,15,1483
204,1474,1488,1850,99243,1,10,1477
205,1479,1492,1424,99230,1,11,1480
206,1482,1496,1528,99214,3,15,1478
207,1430,1467,1156,99253,9,22,1436
208,1415,1451,1254,99286,17,19,1415
209,1406,1434,873,99309,18,17,1399
210,1410,1437,1313,99304,19,19,1399
211,1388,1431,1338,99318,28,24,1379
212,1378,1410,5006,99345,29,8,1373
213,1340,1380,7959,99367,39,8,1333
214,1325,1374,25739,99373,50,12,1312
215,1331,1361,45820,99403,39,8,1314
216,1305,1347,54935,99412,37,20,1290
217,1281,1319,60115,99445,27,19,1273
218,1282,1324,66667,99446,21,28,1275
219,1207,1235,70231,99620,11,19,1205
220,1215,1245,73116,99610,12,21,1212
221,1224,1257,76337,99580,13,22,1222
222,1222,1254,77296,99579,12,24,1218
223,1209,1237,79503,99599,9,20,1208
224,1205,1228,81856,99611,10,17,1201
225,1181,1215,82214,99623,14,24,1177
226,1177,1215,82917,99623,17,24,1174
227,1156,1188,82968,99661,13,24,1151
228,1148,1180,83831,99667,11,28,1141
229,1143,1184,83302,99649,13,30,1141
230,1139,1175,82612,99660,10,32,1133
231,1139,1170,81558,99653,10,28,1132
232,1139,1181,80288,99641,14,34,1133
233,1136,1177,77633,99645,10,34,1133
234,1159,1211,74621,99617,13,36,1162
235,1160,1211,70905,99617,8,42,1161
236,1177,1207,68068,99623,10,25,1172
237,1175,1207,66320,99623,10,30,1167
238,1171,1201,65083,99616,14,26,1161
239,1168,1201,59815,99616,19,24,1158
240,1167,1201,59323,99616,16,22,1163
241,1180,1212,57991,99613,18,20,1174
242,1176,1215,57508,99616,21,20,1174
243,1163,1205,54803,99630,28,11,1166
244,1222,1251,54202,99583,26,6,1219
245,1216,1248,51999,99587,29,5,1214
246,1208,1253,51748,99577,29,6,1218
247,1259,1320,49939,99505,35,5,1280
248,1262,1327,48967,99497,41,7,1279
249,1272,1338,48397,99469,36,9,1293
250,1282,1341,47995,99464,47,1,1293
251,1288,1371,46855,99434,63,8,1300
252,1278,1393,45704,99408,84,10,1299
253,1293,1422,44942,99377,101,6,1315
254,1328,1461,44345,99328,112,11,1338
255,1291,1455,43569,99330,136,10,1309
256,1282,1446,43259,99354,131,7,1308
257,1256,1427,42450,99381,135,11,1281
258,1320,1467,42224,99341,127,8,1332
259,1353,1467,42069,99341,100,9,1358
260,1372,1467,42133,99353,86,13,1368
261,1376,1430,42060,99400,56,12,1362
262,1371,1401,42109,99428,35,11,1355
263,1319,1342,42066,99499,23,9,1310
264,1318,1334,42159,99553,22,10,1302
265,1269,1287,42031,99597,22,8,1257
266,1243,1270,41980,99623,33,5,1232
267,1196,1233,41934,99674,36,7,1190
268,1174,1206,42012,99708,36,14,1156
269,1122,1189,41740,99735,46,19,1124
270,1079,1149,41725,99779,47,27,1075
271,1033,1106,41461,99823,48,24,1034
272,1003,1080,41112,99861,50,28,1002
273,962,1046,40831,99896,48,39,959
274,922,972,40616,99967,32,25,915
275,886,949,39988,100000,27,28,894
276,878,903,39161,100052,22,21,860
277,842,902,38594,100067,23,31,848
278,833,885,38221,100098,18,34,833
279,844,889,37725,100120,21,37,831
280,889,939,36918,100054,21,38,880
281,955,1034,36021,99936,31,42,961
282,1038,1156,35353,99804,45,55,1056
283,1127,1264,34621,99680,53,70,1141
284,1191,1345,34091,99568,67,71,1207
285,1269,1424,33668,99484,61,73,1290
286,1303,1447,33193,99448,56,76,1315
287,1341,1492,32604,99391,55,88,1349
288,1357,1513,31841,99379,72,62,1379
289,1361,1523,31566,99366,88,68,1367
290,1405,1556,31037,99329,80,68,1408
291,1451,1612,30334,99261,86,74,1452
292,1476,1682,29707,99183,106,86,1490
293,1508,1747,29175,99108,138,89,1520
294,1506,1817,28541,99026,179,95,1543
295,1580,1888,28149,98955,216,70,1602
