sequence,learning_rate,frames,evaluated_frames,width,height,tp,fp,fn,tn,precision,recall,f1,background_fpr,largest_luminance_jump_frame,recovery_start_frame,recovery_delay_frames
I_IL_01,0.001,300,275,352,288,516164,7734819,15180,19505745,0.06255787946721016,0.9714309373964889,0.11754606723252277,0.28394489188990363,129,262,133
I_IL_01,0.01,300,275,352,288,441463,1150055,89881,26090509,0.277384861497011,0.8308421662802252,0.41591304569020504,0.04221847242223032,129,168,39
I_IL_01,0.1,300,275,352,288,229,44,531115,27240520,0.8388278388278388,0.00043098256496732813,0.0008615224870536496,1.6152382160663046e-06,129,129,0
I_IL_02,0.001,525,500,352,288,1159562,6855330,184550,42212671,0.14467593574560955,0.8626974537836133,0.24779602615833907,0.13971080664158297,216,372,156
I_IL_02,0.01,525,500,352,288,851207,825739,492905,48242262,0.5075935659228145,0.633285767852679,0.563515827898703,0.016828462198816698,216,236,20
I_IL_02,0.1,525,500,352,288,736,273,1343376,49067728,0.7294350842418236,0.0005475734165010059,0.001094325343221911,5.563707394560459e-06,216,216,0
